iter	Passed	Remaining
441	1192	1505
442	1197	1505
443	1200	1503
444	1202	1500
445	1205	1496
446	1206	1492
447	1208	1488
448	1209	1484
449	1210	1479
450	1212	1475
451	1213	1471
452	1215	1467
453	1217	1463
454	1218	1460
455	1220	1455
456	1221	1451
457	1223	1447
458	1224	1443
459	1225	1439
460	1227	1435
461	1229	1432
462	1231	1428
463	1233	1425
464	1235	1421
465	1237	1418
466	1239	1414
467	1241	1410
468	1242	1407
469	1247	1406
470	1249	1403
471	1251	1399
472	1253	1396
473	1255	1392
474	1256	1389
475	1258	1385
476	1260	1381
477	1262	1378
478	1264	1375
479	1265	1371
480	1267	1367
481	1269	1364
482	1270	1360
483	1272	1356
484	1274	1353
485	1276	1349
486	1277	1346
487	1279	1342
488	1280	1338
489	1282	1334
490	1284	1331
491	1286	1327
492	1287	1324
493	1289	1320
494	1291	1317
495	1292	1313
496	1293	1309
497	1295	1306
498	1297	1302
499	1298	1298
500	1300	1295
501	1301	1291
502	1303	1288
503	1305	1284
504	1307	1281
505	1308	1277
506	1309	1273
507	1311	1269
508	1312	1266
509	1313	1262
510	1315	1258
511	1316	1254
512	1318	1251
513	1319	1247
514	1321	1244
515	1322	1240
516	1324	1237
517	1325	1233
518	1326	1229
519	1328	1226
520	1329	1222
521	1330	1218
522	1332	1214
523	1333	1211
524	1335	1207
525	1337	1204
526	1338	1201
527	1340	1198
528	1342	1194
529	1343	1191
530	1345	1188
531	1347	1185
532	1348	1181
533	1350	1178
534	1352	1175
535	1353	1172
536	1355	1168
537	1357	1165
538	1358	1161
539	1359	1158
540	1361	1154
541	1362	1151
542	1364	1148
543	1366	1145
544	1367	1141
545	1369	1138
546	1370	1135
547	1372	1131
548	1373	1128
549	1374	1124
550	1376	1121
551	1377	1118
552	1379	1114
553	1381	1111
554	1382	1108
555	1383	1105
556	1385	1101
557	1386	1098
558	1387	1094
559	1389	1091
560	1390	1088
561	1392	1084
562	1393	1081
563	1395	1078
564	1396	1075
565	1398	1072
566	1399	1068
567	1400	1065
568	1402	1062
569	1403	1058
570	1405	1055
571	1406	1052
572	1408	1049
573	1410	1046
574	1411	1043
575	1413	1040
576	1414	1037
577	1416	1034
578	1417	1030
579	1419	1027
580	1420	1024
581	1422	1021
582	1424	1019
583	1426	1016
584	1428	1013
585	1429	1010
586	1431	1007
587	1433	1004
588	1434	1001
589	1436	998
590	1437	995
591	1440	992
592	1442	989
593	1443	986
594	1445	983
595	1446	980
596	1448	977
597	1449	974
598	1451	971
599	1452	968
600	1454	965
601	1456	962
602	1458	959
603	1459	956
604	1461	954
605	1463	951
606	1464	948
607	1466	945
608	1467	942
609	1469	939
610	1471	936
611	1473	933
612	1474	930
613	1476	927
614	1477	924
615	1478	921
616	1480	919
617	1481	915
618	1483	913
619	1485	910
620	1487	907
621	1488	904
622	1490	901
623	1491	898
624	1493	895
625	1494	892
626	1495	889
627	1497	886
628	1498	884
629	1500	881
630	1502	878
631	1503	875
632	1505	872
633	1506	869
634	1507	866
635	1509	863
636	1510	860
637	1511	857
638	1513	854
639	1514	852
640	1516	849
641	1517	846
642	1518	843
643	1520	840
644	1521	837
645	1522	834
646	1524	831
647	1525	828
648	1526	825
649	1528	822
650	1529	819
651	1530	817
652	1532	814
653	1533	811
654	1534	808
655	1536	805
656	1537	802
657	1538	799
658	1539	796
659	1541	793
660	1542	791
661	1543	788
662	1545	785
663	1546	782
664	1548	779
665	1549	777
666	1550	774
667	1552	771
668	1553	768
669	1555	766
670	1556	763
671	1557	760
672	1559	757
673	1560	754
674	1562	752
675	1563	749
676	1564	746
677	1566	743
678	1567	741
679	1568	738
680	1570	735
681	1571	732
682	1573	730
683	1574	727
684	1576	725
685	1578	722
686	1579	719
687	1581	716
688	1582	714
689	1583	711
690	1585	708
691	1586	706
692	1588	703
693	1589	701
694	1591	698
695	1593	695
696	1594	693
697	1596	690
698	1597	688
699	1599	685
700	1600	682
701	1602	680
702	1603	677
703	1605	675
704	1606	672
705	1608	669
706	1609	667
707	1611	664
708	1612	661
709	1614	659
710	1615	656
711	1616	654
712	1618	651
713	1619	648
714	1621	646
715	1623	643
716	1624	641
717	1626	638
718	1627	636
719	1629	633
720	1630	630
721	1632	628
722	1633	625
723	1635	623
724	1636	620
725	1638	618
726	1639	615
727	1641	613
728	1642	610
729	1644	608
730	1646	605
731	1647	603
732	1648	600
733	1650	598
734	1652	595
735	1653	593
736	1654	590
737	1656	588
